ID,Probability
6,0.1376
8,0.2003
12,0.2312
15,0.2639
16,0.2025
23,0.1287
27,0.1611
28,0.3654
31,0.5159
35,0.2671
43,0.4194
44,0.4727
45,0.3791
46,0.1257
49,0.2225
58,0.3484
60,0.2536
63,0.3981
67,0.3357
72,0.3064
81,0.4979
83,0.3349
87,0.3538
89,0.385
98,0.2742
102,0.235
103,0.1958
105,0.316
106,0.4225
107,0.3695
118,0.1299
120,0.1552
123,0.487
132,0.5009
136,0.2265
138,0.3712
140,0.4029
147,0.1859
150,0.2525
154,0.2473
157,0.2238
159,0.2894
160,0.4453
165,0.499
167,0.3617
169,0.4891
171,0.3496
175,0.2129
178,0.3252
179,0.2703
182,0.4137
193,0.2095
198,0.1897
206,0.4423
208,0.3796
209,0.4192
211,0.2064
214,0.274
216,0.3478
217,0.3929
222,0.2697
232,0.2101
233,0.1805
235,0.6174
242,0.2515
244,0.4018
248,0.1475
256,0.2575
258,0.3544
263,0.5357
270,0.3613
272,0.4153
275,0.1747
278,0.3824
279,0.5494
282,0.2299
286,0.4249
288,0.3508
291,0.3574
295,0.2665
300,0.5167
301,0.4333
307,0.2868
308,0.5468
309,0.2645
312,0.3353
313,0.4184
315,0.0988
318,0.2715
321,0.2873
330,0.5017
332,0.2457
341,0.1724
348,0.2799
350,0.2248
353,0.3508
356,0.2026
357,0.2295
362,0.2678
363,0.3003
364,0.4614
365,0.3496
371,0.0917
372,0.3388
374,0.2747
380,0.0728
386,0.2981
387,0.1602
390,0.3214
400,0.4905
402,0.1082
406,0.1171
410,0.4331
411,0.1662
415,0.46
420,0.26
427,0.0876
438,0.6994
440,0.2608
445,0.4064
449,0.1841
451,0.2958
452,0.3612
453,0.4622
457,0.2465
463,0.461
473,0.4753
475,0.4011
482,0.2979
484,0.4243
486,0.1409
489,0.2197
492,0.4345
494,0.1141
496,0.2382
497,0.4418
498,0.273
499,0.5378
503,0.1807
506,0.5328
509,0.3614
512,0.3473
514,0.4048
516,0.3853
521,0.5299
529,0.256
535,0.1726
537,0.4595
543,0.3078
551,0.2891
552,0.2582
553,0.3879
557,0.2231
558,0.2241
569,0.2175
571,0.1788
577,0.4083
578,0.2222
579,0.2583
581,0.5754
584,0.413
588,0.4686
589,0.4027
592,0.1734
596,0.1153
597,0.3724
599,0.2477
601,0.248
604,0.5182
606,0.4977
608,0.5606
610,0.1312
613,0.6194
617,0.1598
618,0.0571
625,0.4614
626,0.3278
628,0.3897
632,0.132
634,0.358
637,0.2261
640,0.195
645,0.3172
646,0.2315
647,0.3618
648,0.3808
653,0.5815
655,0.3835
656,0.3168
659,0.437
661,0.2194
662,0.3907
665,0.3649
671,0.265
676,0.2542
678,0.3415
679,0.6372
683,0.1169
684,0.3191
686,0.1693
687,0.4973
692,0.3215
694,0.5659
695,0.1662
698,0.2594
699,0.1217
708,0.2222
709,0.3513
711,0.2262
714,0.105
716,0.1241
720,0.4101
721,0.1146
726,0.275
729,0.3094
731,0.133
737,0.3549
738,0.3604
739,0.444
741,0.2776
742,0.2007
750,0.3916
753,0.3543
760,0.1839
761,0.2156
764,0.3396
773,0.3618
774,0.3637
781,0.1287
786,0.4378
789,0.2518
793,0.3541
794,0.4967
796,0.1288
797,0.3308
798,0.1963
803,0.1226
805,0.4689
809,0.4704
813,0.4196
815,0.2084
816,0.2417
821,0.1521
822,0.3005
824,0.5015
825,0.5561
826,0.5386
827,0.3548
835,0.0872
837,0.2888
838,0.2469
840,0.1648
846,0.3703
847,0.4615
849,0.3006
854,0.3876
860,0.0773
869,0.3852
872,0.3277
874,0.3924
875,0.2474
879,0.302
880,0.2061
888,0.0555
889,0.2151
891,0.2465
892,0.1843
898,0.1729
900,0.5492
901,0.2812
902,0.1164
907,0.257
910,0.537
912,0.3565
917,0.0953
920,0.3742
925,0.4048
927,0.1919
928,0.1674
933,0.2377
934,0.3567
939,0.267
944,0.2189
958,0.272
960,0.3241
962,0.1199
966,0.144
970,0.2771
972,0.4338
977,0.3301
987,0.1804
989,0.2929
990,0.3926
992,0.282
993,0.4636
994,0.2842
996,0.2603
999,0.42
1004,0.1755
1005,0.1501
1010,0.3674
1011,0.2683
1014,0.1511
1016,0.1102
1017,0.7422
1018,0.3916
1021,0.2242
1024,0.2066
1028,0.0795
1030,0.5086
1031,0.1183
1033,0.3352
1038,0.1254
1043,0.3588
1045,0.3213
1047,0.3885
1048,0.2271
1049,0.1892
1051,0.2908
1053,0.2322
1057,0.4577
1060,0.3702
1066,0.2696
1070,0.2017
1075,0.1759
